
#B3LYP-D3/6-31+G*
#AlkEthOH_c260
#RMSD = 0.91540(y)		(x=Hartree, y=kcal/mol)
#conf. init. Energy(x)  	 final Energy(x) 	 diff.(x)	diff. (y) 
1 	 -426.859225007 	 -426.860518993 	 -0.001293986	-0.811988508 
2 	 -426.858850355 	 -426.860150110 	 -0.001299755	-0.815608610 
3 	 -426.859371031 	 -426.860712299 	 -0.001341268	-0.841658412 
4 	 -426.859636407 	 -426.860996240 	 -0.001359833	-0.853308126 
5 	 -426.859293749 	 -426.860620535 	 -0.001326786	-0.832570819 
6 	 -426.859317717 	 -426.860688270 	 -0.001370553	-0.860035028 
7 	 -426.863946280 	 -426.865359195 	 -0.001412915	-0.886617585 
9 	 -426.855968999 	 -426.857426076 	 -0.001457077	-0.914329660 
11 	 -426.855421600 	 -426.856813871 	 -0.001392271	-0.873663279 
12 	 -426.857678980 	 -426.859035414 	 -0.001356434	-0.851175221 
15 	 -426.863495929 	 -426.864906783 	 -0.001410854	-0.885324288 
16 	 -426.863817985 	 -426.865291018 	 -0.001473033	-0.924342201 
19 	 -426.855656529 	 -426.857057320 	 -0.001400791	-0.879009660 
25 	 -426.856964273 	 -426.858392900 	 -0.001428627	-0.896477014 
28 	 -426.854345504 	 -426.855806652 	 -0.001461148	-0.916884251 
29 	 -426.857693136 	 -426.858999680 	 -0.001306544	-0.819868772 
31 	 -426.855727761 	 -426.859945624 	 -0.004217863	-2.646749102 
32 	 -426.855782375 	 -426.857268441 	 -0.001486066	-0.932520533 
33 	 -426.856739985 	 -426.858040425 	 -0.001300440	-0.816038454 
34 	 -426.857667458 	 -426.859104555 	 -0.001437097	-0.901792020 
35 	 -426.856440161 	 -426.859960334 	 -0.003520173	-2.208941999 
36 	 -426.858948295 	 -426.860314340 	 -0.001366045	-0.857206215 
37 	 -426.854257792 	 -426.855668490 	 -0.001410698	-0.885226397 
39 	 -426.858429947 	 -426.859813799 	 -0.001383852	-0.868380277 
41 	 -426.856299639 	 -426.857622315 	 -0.001322676	-0.829991755 
42 	 -426.862862428 	 -426.864338747 	 -0.001476319	-0.926404197 
43 	 -426.857518649 	 -426.860314939 	 -0.002796290	-1.754698540 
45 	 -426.862133442 	 -426.863595095 	 -0.001461653	-0.917201143 
46 	 -426.855479153 	 -426.856849269 	 -0.001370116	-0.859760806 
47 	 -426.862486327 	 -426.864061519 	 -0.001575192	-0.988447944 
49 	 -426.862577020 	 -426.864040904 	 -0.001463884	-0.918601117 
50 	 -426.862460476 	 -426.863907908 	 -0.001447432	-0.908277331 
51 	 -426.854969757 	 -426.856379370 	 -0.001409613	-0.884545549 
53 	 -426.862488513 	 -426.864006925 	 -0.001518412	-0.952817955 
55 	 -426.859195129 	 -426.860568296 	 -0.001373167	-0.861675338 
56 	 -426.858621049 	 -426.859944787 	 -0.001323738	-0.830658171 
57 	 -426.857259018 	 -426.858592584 	 -0.001333566	-0.836825334 
58 	 -426.856224707 	 -426.857608032 	 -0.001383325	-0.868049579 
60 	 -426.860450325 	 -426.861903044 	 -0.001452719	-0.911594973 
61 	 -426.854317145 	 -426.856605551 	 -0.002288406	-1.435996505 
63 	 -426.857934413 	 -426.859263945 	 -0.001329532	-0.834293961 
64 	 -426.861813753 	 -426.863164921 	 -0.001351168	-0.847870756 
66 	 -426.857036750 	 -426.859958850 	 -0.002922100	-1.833645510 
67 	 -426.858160626 	 -426.859495447 	 -0.001334821	-0.837612858 
68 	 -426.857928328 	 -426.859293113 	 -0.001364785	-0.856415553 
70 	 -426.851562709 	 -426.852877774 	 -0.001315065	-0.825215781 
72 	 -426.855781589 	 -426.857069501 	 -0.001287912	-0.808177015 
74 	 -426.858077545 	 -426.859422941 	 -0.001345396	-0.844248771 
78 	 -426.856094831 	 -426.857469577 	 -0.001374746	-0.862666175 
80 	 -426.855261202 	 -426.856581062 	 -0.001319860	-0.828224689 
82 	 -426.863658607 	 -426.865099034 	 -0.001440427	-0.903881627 
83 	 -426.861234860 	 -426.862690333 	 -0.001455473	-0.913323134 
